,GSM997592,GSM997593,GSM997596,GSM997591,GSM997594,GSM997597,GSM997595,GSM997598
3423,6.682910057000001,4.892505807,5.668859553,5.299158659,5.812599101,5.450776437000001,6.089034099999999,5.487371396
6534,7.102907968999999,6.983627471,5.916177869,6.571321468,6.331917376,6.1969356310000006,6.365373619,5.566129612
5286,6.877750777,7.106077813,8.88884692,6.5130343260000005,7.710845652000001,5.58011029,7.2768470370000005,7.982839286
2137,7.458530986,6.490232405,6.2921494220000005,6.396462842,6.977457697999999,6.028871932,6.052969791000001,6.017612167
60481,7.015014871,7.9886735479999995,10.62066256,8.601286191,10.82817372,8.151158671000001,9.728213212,9.456464116
240,5.378396242999999,4.9638494810000005,4.631827286,3.871832178,4.2153191869999995,4.3635642919999995,4.586840867,5.830040316
5238,4.13709742,4.7594970000000005,4.885093466,4.9600242439999995,3.942240025,4.669403322,4.834085416000001,5.0565179030000005
112611,5.963689756,5.607436162000001,5.551592562000001,5.657361849,5.233455335,5.833860457999999,5.335437729,5.195755728
55,4.569179643,5.013946065,4.7568967660000006,4.728018466,4.358823124,5.5924013939999995,4.939865206,4.759694555
4190,5.754272961,6.392743664,7.407970232,7.725307231,6.787686258,6.1406921070000005,7.6448929560000005,7.771963055
1800,7.89734321,7.4774553489999995,6.737826983,7.14617776,7.143039865,7.097202002,6.945381782,6.365366656
29881,6.364379765,5.577573635,5.90800329,6.284675288,6.167517779,6.895253761,5.9635044520000005,5.734835928
64132,5.390392331,6.286833295,5.635509527000001,5.9632895910000006,5.421810375,4.88523449,6.972320193,6.4438393860000005
55349,8.588974838,8.895173928,7.862159033999999,8.747462442,7.498688271000001,8.352130846,7.21317928,7.6388074470000005
92745,6.483966105,6.273675974,5.223480609,5.676873714,5.251936993,5.834133695,5.206535682,5.067322863
6556,5.514798282,5.513729398,5.403156442999999,5.2941156089999994,5.341775666,5.606733505,5.621711262000001,5.562794449
8540,6.607859942999999,6.603162136,7.369850542999999,6.252839756,6.751987174,5.646499617999999,7.181154714,6.679493955
477,4.896400355,5.148077433,5.100345268,4.987260644,5.445028612000001,5.3960615789999995,4.812500611,5.021213159
1591,2.9635886080000002,3.6519606189999996,2.8620156430000003,2.8287643680000003,2.969368855,2.855503259,2.8217810269999997,2.722277236
64816,4.336527004,4.23177111,4.417061529,4.559788043,4.204121476,4.52649708,4.3892749360000005,4.431869003
11136,5.962756452000001,5.489411731000001,5.719605673999999,6.022653028,5.51355985,5.876114632999999,5.37451277,5.411847531
1373,5.620392021000001,5.422096902000001,5.0994594189999995,6.038277183,5.937117943,4.61887256,4.724146567,5.496870567999999
4719,5.2632822589999995,6.709645512000001,7.670387732000001,7.239343797999999,6.318124028,6.141818566,6.485272805,6.603584111
211,4.534987765,4.319702396,6.0531586189999995,4.671648866,4.690607821,4.573298754,4.729869917,5.70612892
51022,6.342751344,6.1160055,7.177898022999999,6.117304992,7.8823591010000005,5.788072773,7.101620271,7.745062432999999
51071,5.505918073999999,5.400842034,9.673213265,7.162973052000001,8.073229032,3.7725812160000003,6.315543902999999,7.820823522
1244,4.514971743,4.8058042930000004,4.396876429,4.546173262,4.733246896,3.9133750939999996,4.28558602,4.234164269
1890,5.087223289,4.632587813,4.259661554,4.439159326,4.625259024,5.385481102999999,4.417572119,4.184922566
56895,4.308585356,4.390559888,6.297774838,5.643599551,5.072548638,5.610623453,5.045977891000001,5.38596558
11285,6.412386164,6.528256442999999,6.851599461,6.898605129,6.688741,6.312193585,6.652423355,6.574602495
56052,5.225354384,6.767282645,4.535491854,4.920190634,4.31921822,5.1934527710000005,5.2847481919999995,5.3755255889999995
2530,4.918791157,5.262101863,5.2767516930000005,5.010347115,4.917176587,5.078320001,5.124215175,5.826142067999999
535,6.976966844,6.558190476,6.79524781,6.82075419,7.626040436,7.332317867,7.423127497,6.929599291000001
9497,6.5820213139999995,6.241312099,7.194671838,6.485944542,6.0187483010000005,6.61318677,6.438549739,7.256174017
159,3.6864586860000004,5.034580574,6.366504996000001,6.112221151,4.968894263,5.392062476,5.337704566,5.487748281
5009,3.205358547,4.277515407,5.031084653,3.858892475,3.647563888,3.9980713619999997,3.9881131,4.043331403
10858,5.98300072,5.4639134579999995,5.12067077,5.495691086,4.918099749,5.553541891,4.7356155310000005,4.746045365
6570,4.203991241000001,4.26561664,3.832722,3.91710412,4.01045177,3.6032996369999997,4.432519284,4.484392881000001
175,5.2632822589999995,4.806353434,5.683023587,5.804465407,5.739774186,5.225551996,6.592666628,6.159525277
