,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000378795,23.45,23.46,31.7
ENST00000293761,0.02,0.03,0.06
ENST00000454214,1.18,1.81,2.78
ENST00000347644,0.17,0.4,0.31
ENST00000403525,0.78,0.94,2.32
ENST00000433365,9.59,3.97,1.6
ENST00000433363,0,0.07,0.03
ENST00000514224,0.21,0.75,0.84
ENST00000498806,0.08,0.26,0.69
ENST00000574840,0.52,1.16,1.02
ENST00000452905,12.14,0.74,4.02
ENST00000244527,0,0,0
ENST00000483632,0.06,0.18,0.5
ENST00000585510,0,0,0
ENST00000396398,2.73,2.85,4.56
ENST00000413384,13.11,5.16,22.17
ENST00000518738,15.95,9.28,14.28
ENST00000539642,0,0,0.07
ENST00000554667,0,0,0
ENST00000592424,0.04,0.19,1.04
ENST00000530927,4.37,4.42,3.19
ENST00000530923,0,0,0.13
ENST00000529834,0.05,0,0
ENST00000526355,4.05,7.22,2.43
ENST00000429204,0.14,0,0
ENST00000276576,5.94,1.91,4.32
ENST00000439661,0,0.14,0.2
ENST00000550764,0,0.54,0.39
ENST00000510258,0.18,0,0
ENST00000428559,21.99,12.55,25.19
ENST00000531341,0,0,0
ENST00000531340,0,0.03,0.08
ENST00000403838,0,0.12,0.28
ENST00000563322,0,0.1,0.15
ENST00000433777,0,0,0
ENST00000505228,0.22,0,0.38
ENST00000520179,0.27,0.55,0.66
ENST00000376939,0,0,0
ENST00000407449,0,0,0
ENST00000407441,0,0.26,0.35
ENST00000394821,0,0,0
ENST00000533297,4.19,4.28,8.84
ENST00000377332,11.02,3.05,2.69
ENST00000534334,0.44,0.25,1.36
ENST00000443765,0.29,0.2,0.04
ENST00000539251,0,0,0.05
ENST00000238671,0.17,0.1,0.07
ENST00000505164,0,0.13,0.12
ENST00000566322,0,0,0.03
ENST00000376687,5.74,4.3,3.4
ENST00000276390,65.47,64.63,41.78
ENST00000481949,0,0,0
ENST00000209668,0.03,0.04,0.02
ENST00000209665,0,0,0
ENST00000587617,0,0,0
ENST00000456102,0.04,0.07,0
ENST00000546003,0.03,0.01,0
ENST00000266483,0.48,1.03,0.92
ENST00000470592,17.74,10.74,9.6
ENST00000299166,110.12,80.39,47.15
ENST00000524213,0.43,0.38,1.03
ENST00000262039,6.93,9.69,6.93
ENST00000524211,2.21,3.09,3.66
ENST00000427067,56.96,7.3,11.1
ENST00000264938,0,0,0.68
ENST00000262030,313.2,261.56,279.96
ENST00000264932,52.65,51.52,60.61
ENST00000420568,0.21,0.07,0.1
ENST00000264930,3.41,2.39,1.03
ENST00000587927,0,0,0.29
ENST00000510194,0,0,0
ENST00000458503,0,0.07,0
ENST00000367079,2.8,1.07,8.8
ENST00000536991,0.16,0.48,0.27
ENST00000533645,0.22,0.67,0.2
ENST00000414122,0,0.06,0.12
ENST00000586696,0,0,0
ENST00000478266,0,0.05,0.1
